month_date,long,short,long_short,mktrf,smb,hml,rmw,cma,umd,rf
2010-07-31,0.08734803166666666,0.05629363833333333,0.031054393333333326,0.0692,4e-4,-0.005,0.0017,0.0202,0.0179,1e-4
2010-08-31,-0.07849521833333332,-0.05421844666666667,-0.024276771666666655,-0.0477,-0.0306,-0.0173,0.006,-0.016,-6e-4,1e-4
2010-09-30,0.15078283166666667,0.11412538833333333,0.036657443333333345,0.0955,0.0365,-0.0302,-0.0019,0.0038,0.0135,1e-4
2010-10-31,0.038664533333333334,0.03734935833333333,0.0013151750000000018,0.0387,0.0073,-0.0246,0.0128,-0.0038,0.015,1e-4
2010-11-30,0.03054236,0.035052845,-0.004510484999999998,0.0059,0.0354,-0.009,0.0032,0.0179,0.0271,1e-4
2010-12-31,0.11807401267413334,0.06942599166666667,0.048648021007466666,0.0682,0.0097,0.0356,-0.0342,0.0317,-0.0301,1e-4
2011-01-31,0.007843434999999998,0.001768366666666666,0.006075068333333332,0.0198,-0.0231,0.0061,-0.0064,0.0081,-0.003,1e-4
2011-02-28,0.04701177166666667,0.05934403514815333,-0.012332263481486666,0.0348,0.0165,0.0118,-0.0183,0.0084,0.0189,1e-4
2011-03-31,0.01424919,0.029350576666666666,-0.015101386666666666,0.0046,0.0256,-0.0184,0.0173,-7e-4,0.0342,1e-4
2011-04-30,0.02478810595566833,0.03200984166666667,-0.00722173571099834,0.029,-0.0053,-0.0244,0.0112,-0.0086,5e-4,0
2011-05-31,-0.01517731,-0.029570875,0.014393565,-0.0127,-0.0072,-0.0185,0.0192,-0.0143,-0.0057,0
2011-06-30,-0.026387421666666667,-0.05814998833333333,0.031762566666666665,-0.0174,6e-4,-0.002,0.0227,-0.0142,0.0182,0
2011-07-31,-0.026048833333333334,-0.06446469666666667,0.038415863333333335,-0.0235,-0.0111,-0.0091,0.0268,-0.0173,0.002,0
2011-08-31,-0.08410789599656666,-0.10921368000000001,0.025105784003433343,-0.0596,-0.0309,-0.0243,0.0341,-0.0026,-0.0026,1e-4
2011-09-30,-0.10444487999999999,-0.12788103666666667,0.02343615666666668,-0.0757,-0.0349,-0.0153,0.0199,0.0015,-0.0236,0
2011-10-31,0.14418996833333333,0.14975853666666666,-0.005568568333333329,0.1134,0.0325,6e-4,-0.0225,-0.0073,-0.0145,0
2011-11-30,-0.009121711666666667,-0.024657725000000002,0.015536013333333334,-0.0027,-0.003,-0.0052,0.0194,0.0144,0.0385,0
2011-12-31,0.009499968333333332,-0.01961234,0.02911230833333333,0.0075,-0.0029,0.0154,0.0106,0.0247,0.0183,0
2012-01-31,0.064988865,0.12864008666666665,-0.06365122166666665,0.0505,0.0202,-0.0093,-0.0206,-0.0148,-0.0801,0
2012-02-29,0.051689655,0.048964821666666665,0.002724833333333336,0.044,-0.0167,0.0042,-0.0036,-8e-4,-0.0026,0
2012-03-31,0.012392828333333335,0.021536,-0.009143171666666665,0.0311,-0.0048,0.0119,-0.0061,0.007,0.0132,0
2012-04-30,-0.021462993333333333,-0.025791451666666666,0.0043284583333333335,-0.0084,-0.005,-0.0077,0.013,0.0066,0.0378,0
2012-05-31,-0.08817720166666666,-0.10280935333333333,0.014632151666666662,-0.0617,-8e-4,-0.0095,0.0203,0.0236,0.0646,1e-4
2012-06-30,0.044124163333333334,0.07269603666666667,-0.028571873333333338,0.039,0.0089,0.0055,-0.0106,0.0045,-0.0111,0
2012-07-31,-0.02098253666666667,-0.038885741553706665,0.017903204887039996,0.0079,-0.0281,-6e-4,0.0104,1e-4,0.03,0
2012-08-31,0.043749906666666664,0.04348411333333334,2.657933333333265e-4,0.0254,0.0044,0.0123,-0.015,-0.0086,-0.0234,1e-4
2012-09-30,0.037212185,0.04044595333333333,-0.003233768333333331,0.0273,0.0057,0.0162,-0.013,0.0156,-0.0114,1e-4
2012-10-31,0.002689204999999999,-0.077433325,0.08012253,-0.0176,-0.0083,0.0352,-0.014,0.0252,8e-4,1e-4
